Date,EURUSD_Close,NZDUSD_Close,Residual
2020-01-01,1.1220825910568235,0.6785798072814941,-0.026817019927873886
2020-01-02,1.1220825910568235,0.6737182140350342,-0.021349487111548715
2020-01-03,1.1171437501907349,0.6700212359428406,-0.022130565693632587
2020-01-06,1.1161960363388062,0.665530800819397,-0.018028165282117925
2020-01-07,1.1197994947433472,0.6669512391090393,-0.016022185845575798
2020-01-08,1.1154738664627075,0.6631211638450623,-0.01604036569662104
2020-01-09,1.1113210916519165,0.6654289960861206,-0.02278861649087638
2020-01-10,1.1111111640930176,0.6607987880706787,-0.017791235871684963
2020-01-13,1.111666917800903,0.6637682318687439,-0.020575031687811274
2020-01-14,1.1135733127593994,0.6626817584037781,-0.017446747315162048
2020-01-15,1.113089919090271,0.660969078540802,-0.016003996019057
2020-01-16,1.1154004335403442,0.6619185209274292,-0.01476126061649552
2020-01-17,1.1139578819274902,0.6638211011886597,-0.018343526410815603
2020-01-20,1.1094592809677124,0.6619710922241211,-0.020761536870457453
2020-01-21,1.109693169593811,0.6608904600143433,-0.01931232812813133
2020-01-22,1.108561396598816,0.6595305800437927,-0.01891472834586616
2020-01-23,1.1096439361572266,0.659639298915863,-0.017954458169253673
2020-01-24,1.1055220365524292,0.6614719033241272,-0.024137374447715132
2020-01-27,1.102535843849182,0.6572720408439636,-0.02240024194248913
2020-01-28,1.101976990699768,0.6545788049697876,-0.019930179512656743
2020-01-29,1.1022562980651855,0.6540094017982483,-0.01901049966680235
2020-01-30,1.1016855239868164,0.6527202129364014,-0.018131402879540737
2020-01-31,1.1029127836227417,0.6485421061515808,-0.012205285318232395
2020-02-03,1.1089794635772705,0.6459489464759827,-0.0032222392866714245
2020-02-04,1.1062926054000854,0.6461117267608643,-0.00609216636829224
2020-02-05,1.1047282218933103,0.6493801474571228,-0.011332340199023738
2020-02-06,1.100231051445007,0.6481889486312866,-0.014489843106080036
2020-02-07,1.0982975959777832,0.6463000178337097,-0.014298935098215004
2020-02-10,1.0949305295944214,0.6399590373039246,-0.010534693415126917
2020-02-11,1.0913456678390503,0.6388592720031738,-0.012882717251881726
2020-02-12,1.091941475868225,0.6406519412994385,-0.014303013349328708
2020-02-13,1.0875948667526243,0.6447120904922485,-0.023215820792408026
2020-02-14,1.0845986604690552,0.6443091630935669,-0.025758879586418537
2020-02-17,1.0841753482818604,0.6446580290794373,-0.026574539740534142
2020-02-18,1.0840108394622805,0.6438984274864197,-0.025884771695183106
2020-02-19,1.079540491104126,0.6394516229629517,-0.02535407442337889
2020-02-20,1.081009864807129,0.6389816999435425,-0.023356207405630602
2020-02-21,1.078799843788147,0.6332480907440186,-0.01911799327511532
2020-02-24,1.0839051008224487,0.6323310732841492,-0.012981423500153966
2020-02-25,1.0849199295043943,0.6344292163848877,-0.01432624641287572
2020-02-26,1.0881996154785156,0.6321592330932617,-0.008493650824501486
2020-02-27,1.088589429855347,0.6286817193031311,-0.004192892071439802
2020-02-28,1.0997228622436523,0.6311696767807007,0.004142488636145858
2020-03-02,1.1051311492919922,0.6229403614997864,0.018805776889501802
2020-03-03,1.114404797554016,0.6265585422515869,0.02401028135586336
2020-03-04,1.118067979812622,0.6269199252128601,0.027267038580565117
2020-03-05,1.113908290863037,0.6300284266471863,0.019611410596148682
2020-03-06,1.1223849058151243,0.6313091516494751,0.02664767346123198
2020-03-09,1.1386020183563232,0.6329394578933716,0.0410312815446785
2020-03-10,1.139796018600464,0.6341515779495239,0.04086208543561454
2020-03-11,1.1316505670547483,0.6268099546432495,0.040973302911187615
2020-03-12,1.1261515617370603,0.6264290809631348,0.03590264263170684
2020-03-13,1.1184931993484497,0.6114487648010254,0.04509171400874479
2020-03-16,1.115536093711853,0.6050997972488403,0.04927489894800674
2020-03-17,1.1163206100463867,0.6044706702232361,0.050766955482583365
2020-03-18,1.101552128791809,0.5949299931526184,0.046728282817308564
2020-03-19,1.0961546897888184,0.5730692148208618,0.06591630723339836
2020-03-20,1.0657345056533811,0.5684757828712463,0.04066207151258139
2020-03-23,1.0694386959075928,0.5626100301742554,0.05096311052344271
2020-03-24,1.0764610767364502,0.574418842792511,0.044704851191965655
